PCT_LACCESS_POP10,PCT_LACCESS_LOWI10,PCT_LACCESS_SENIORS10,REDEMP_SNAPS11,SNAP_PART_RATE07,SNAP_PART_RATE09,PCT_NSLP11,PCH_NSLP_09_11,PCT_FREE_LUNCH09,PCT_REDUCED_LUNCH09,PCT_SFSP09,PCT_WIC09,PCT_CACFP09,PCT_ADULTPA09,PCT_HSPA09,y2,y1,RECFAC09,PCH_RECFAC_07_09,RECFACPTH09,PCH_RECFACPTH_07_09,FOODINSEC_99_01,FOODINSEC_06_08,FMRKT09,FMRKTPTH09,PCH_FMRKTPTH_09_12,SLHOUSE07,CSA07,AGRITRSM_OPS07,AGRITRSM_RCT07,FARM_TO_SCHOOL,SODATAX_STORES11,SODATAX_VENDM11,CHIPSTAX_STORES11,CHIPSTAX_VENDM11,FOOD_TAX11,FFR09,PCH_FFR_07_09,FFRPTH09,PCH_FFRPTH_07_09,FSR09,PCH_FSR_07_09,FSRPTH09,PCH_FSRPTH_07_09,PC_FFRSALES07,PC_FSRSALES02,PC_FSRSALES07,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC10,POVRATE10,PERPOV00,CHILDPOVRATE10,PERCHLDPOV00,METRO00,POPLOSS00,PCH_GROC_07_09,GROCPTH09,PCH_GROCPTH_07_09,SUPERCPTH09,PCH_SUPERCPTH_07_09,CONVSPTH09,PCH_CONVSPTH_07_09,SPECSPTH09,PCH_SPECSPTH_07_09,SNAPSPTH08,WICS08,WICSPTH08
66.430852,44.09667337,3.322273273,405113.7567,82,74,7.528385899,-0.138911191,62.60399334,8.569051581,0.335732376,3.696062697,1.413655216,74.3,20.2,6.1,29.7,0,0,0,0,11.1,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582.7155098,517,688.0841941,2.667917951,0.013406623,0.09384636,0.227912589,94.94570318,0,5.41627564,41.57393753,30883,34.1,1,46,1,0,0,0,2.198939335,-1.914370715,0,0,0.129349373,-50.95718536,0,0,3.369,14,1.829108963
0.380989836,0.089078193,0.095247459,,82,74,7.528385899,-0.138911191,45.04504505,28.82882883,0.335732376,3.696062697,1.413655216,74.3,20.2,7.7,30.5,0,0,0,0,11.1,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.459854015,-1.459854015,0,0,0,0,582.7155098,517,688.0841941,40.48338369,0.302114804,2.567975831,4.078549849,35.49848943,1.812688822,9.667673716,24.47129909,49331,14.7,0,22.6,0,0,0,0,2.919708029,-1.459854015,0,0,0,,0,0,3.044,2,3.076923077
99.99999992,50.08882135,10.18253399,82256.63429,82,74,7.528385899,-0.138911191,24.47614802,4.5920642,0.335732376,3.696062697,1.413655216,74.3,20.2,7.5,32.6,0,-100,0,-100,11.1,11.6,1,0.17771459,98.97454031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-50,0.355429181,-48.36502577,582.7155098,517,688.0841941,21.79670723,0.161059413,1.181102362,0.250536865,70.99141016,0.107372942,10.182534,27.773801,35177,27.1,1,34.9,1,0,0,20,2.132575084,23.92393816,0,0,0.888572952,29.08743558,0,-100,7.192,9,1.575630252
33.7696573,9.793530396,4.376377982,270142.846,68,74,11.89510571,-0.419992189,32.00674871,8.217546645,0.564889562,2.990416904,0.916089934,59.1,19.4,12.3,34.1,4,-20,0.078808417,-21.4532272,11.9,13.3,2,0.039404208,37.75670834,0,2,7,228000,0,4,4,4,4,4,30,-6.25,0.591063126,-7.95300063,34,0,0.669871542,-1.816534006,649.511367,349,484.381507,77.24615638,17.58259882,2.400542413,0.855765883,0.397647102,0.040314453,11.99538216,26.77795899,53049,11.9,0,17.5,0,1,0,50,0.118212625,47.27519899,0.019702104,-1.816534006,0.571361021,-5.089316206,0.039404208,96.36693199,0.735,6,0.119156373
19.3184726,5.460260624,3.513570133,237201.7406,68,74,11.89510571,-0.419992189,33.21605514,8.160407841,0.564889562,2.990416904,0.916089934,59.1,19.4,11.4,25.5,18,5.882352941,0.100067824,1.724829182,11.9,13.3,4,0.022237294,-3.662762362,1,13,18,124000,0,4,4,4,4,4,112,-13.17829457,0.622644237,-16.58739244,202,9.782608696,1.122983355,5.471939435,649.511367,349,484.381507,83.50478699,9.308424547,4.384824294,0.735193263,0.628754835,0.043343483,16.77118481,22.98740844,47618,13.3,0,20.2,0,0,0,4.347826087,0.133423765,0.250556295,0.033355941,92.14689957,0.661559501,-3.11236844,0.116745794,-12.28076324,0.533,24,0.136199578
20.84097171,11.42031572,2.805166443,254667.7605,68,74,11.89510571,-0.419992189,68.24583867,3.71318822,0.564889562,2.990416904,0.916089934,59.1,19.4,14,37,1,0,0.03362814,-0.003362814,11.9,13.3,2,0.06725628,64.48062244,0,1,27,163000,0,4,4,4,4,4,21,5,0.706190941,4.996469045,12,9.090909091,0.40353768,9.087240567,649.511367,349,484.381507,46.75310485,46.69118986,5.051535128,0.389700259,0.218523509,0.087409404,14.23680664,21.90698183,33074,25.3,1,36.2,1,0,0,-16.66666667,0.1681407,-16.66946901,0,0,0.47079396,-33.33557521,0.06725628,99.99327437,0.921,10,0.335165572
4.559752683,2.144660992,0.657007739,458800.558,68,74,11.89510571,-0.419992189,50.27855153,11.19777159,0.564889562,2.990416904,0.916089934,59.1,19.4,11.8,34,1,-50,0.046324177,-50.2362533,11.9,13.3,1,0.046324177,89.64244927,0,2,5,,0,4,4,4,4,4,7,-12.5,0.324269236,-12.91344328,6,-25,0.27794506,-25.35437995,649.511367,349,484.381507,75.02072878,21.9245036,1.771765219,0.096006982,0.279293039,0.030547676,12.68164957,22.69692341,35472,20.9,1,28.6,1,1,0,-14.28571429,0.27794506,-14.69071994,0.046324177,0,0.880159355,11.23661027,0,0,0.462,6,0.277919311
2.700840095,1.062467654,0.340269096,273996.81,68,74,11.89510571,-0.419992189,39.68109799,9.082652134,0.564889562,2.990416904,0.916089934,59.1,19.4,12.6,32,3,0,0.051418288,-2.534921587,11.9,13.3,1,0.017139429,1.158173969,0,7,10,293000,0,4,4,4,4,4,24,-11.11111111,0.411346302,-13.36437474,19,35.71428571,0.325649156,32.27403499,649.511367,349,484.381507,88.88733819,1.263040368,8.070199923,0.200621053,0.497191305,0.031401556,14.72209623,24.60835281,42906,16.5,0,24.1,0,1,0,0,0.102836576,-2.534921587,0.017139429,-2.534921587,0.531322307,0.71391436,0.034278859,-2.534921587,0.4,10,0.173028342
37.47465226,20.15173014,5.079604368,190981.3841,68,74,11.89510571,-0.419992189,92.11973122,0.061087355,0.564889562,2.990416904,0.916089934,59.1,19.4,15.6,39.4,0,0,0,0,11.9,13.3,1,0.091033227,4.202238664,0,2,18,116000,0,4,4,4,4,4,4,33.33333333,0.364132909,33.10271582,2,0,0.182066454,-0.172963132,649.511367,349,484.381507,21.9168041,69.97434488,7.119296317,0.18325087,0.18325087,0.036650174,13.45977643,22.26498076,25969,31.1,1,40.3,1,0,0,0,0.182066454,-0.172963132,0,0,0.182066454,-0.172963132,0.091033227,-0.172963132,1.019,2,0.183133413
6.243470213,2.832029115,1.217140537,268609.6312,68,74,11.89510571,-0.419992189,69.69248965,8.604376109,0.564889562,2.990416904,0.916089934,59.1,19.4,16.6,40.8,0,0,0,0,11.9,13.3,2,0.100180325,-3.322033898,0,3,9,97000,0,4,4,4,4,4,17,13.33333333,0.851532759,14.91718427,19,11.76470588,0.951713084,13.326635,649.511367,349,484.381507,54.06024729,43.1899556,0.911825082,0.830667876,0.281663245,0.033417673,16.6563231,24.13710794,29500,28.1,1,39.6,1,0,0,0,0.150270487,1.397515528,0.050090162,0,1.202163895,5.80610316,0.050090162,-49.30124224,1.344,6,0.297456745
26.06108574,10.04382389,4.195726759,311152.301,68,74,11.89510571,-0.419992189,48.38118839,8.538490546,0.564889562,2.990416904,0.916089934,59.1,19.4,14.2,33.6,7,-12.5,0.061359911,-13.47638958,11.9,13.3,2,0.017531403,45.26813077,2,3,4,,0,4,4,4,4,4,95,-5,0.832741648,-6.060080119,67,-11.84210526,0.587302005,-12.82583612,649.511367,349,484.381507,73.61350066,20.3901427,3.283237189,0.699996627,0.404817326,0.079276726,14.32884661,22.87723915,37916,23.5,0,31.5,0,1,1,-19.35483871,0.219142539,-20.25473694,0.026297105,196.6523786,0.771381738,-8.402072581,0.017531403,-60.44634952,1.014,18,0.15869937
